"","X1","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","barrel","gameID","abID","orderID","typeres"
"1",938,"FF",2020-10-25,91.2,1.61,6.23,"Clayton Kershaw",650490,477132,NA,"ball",NA,NA,NA,NA,14,"null","W","R","L","TB","LAD","B","null","null",0,0,2020,0.26,1.79,0.28,1.49,NA,NA,NA,0,1,"Bot",NA,NA,NA,NA,605131,NA,"null",-3.89085818187633,-132.481879659527,-9.83987671771941,3.88967684231082,29.0008192830615,-9.12156218855364,3.29,1.67,NA,NA,NA,91,2615,6.3,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.61,"null","null","null","null","null","null","null",8,1,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Strategic",0,"2020-10-25 LAD TB",1,2,"FF,B"
"2",939,"SL",2020-10-25,88.3,1.42,6.28,"Clayton Kershaw",650490,477132,NA,"foul",NA,NA,NA,NA,8,"null","W","R","L","TB","LAD","S","null","null",1,0,2020,-0.18,0.99,-0.24,2.08,NA,NA,NA,0,1,"Bot",NA,NA,NA,NA,605131,NA,"null",-3.69264723220847,-128.539745269795,-6.24226012158781,-1.17564627515399,26.7623341909768,-20.1453610904457,3.36,1.61,NA,NA,NA,89,2804,6.7,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.42,"null","null","null","null","null","null","null",8,2,"Slider",0,2,0,2,2,0,0,2,"Standard","Strategic",0,"2020-10-25 LAD TB",1,2,"SL,SW"
"3",940,"CU",2020-10-25,74.7,1.12,6.42,"Clayton Kershaw",650490,477132,NA,"called_strike",NA,NA,NA,NA,8,"null","W","R","L","TB","LAD","S","null","null",1,1,2020,-0.33,-1.34,0.27,1.66,NA,NA,NA,0,1,"Bot",NA,NA,NA,NA,605131,NA,"null",-1.1554376146811,-108.790307938826,-0.176585024797817,-2.38644161016707,21.1608805248656,-42.9553574964611,3.22,1.52,NA,NA,NA,74.1,2484,6,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.12,"null","null","null","null","null","null","null",8,3,"Curveball",0,2,0,2,2,0,0,2,"Standard","Standard",0,"2020-10-25 LAD TB",1,2,"CU,CS"
"4",941,"SL",2020-10-25,88,1.39,6.32,"Clayton Kershaw",650490,477132,"single","hit_into_play_no_out",NA,NA,NA,NA,4,"Yandy Diaz singles on a sharp ground ball to center fielder Cody Bellinger.","W","R","L","TB","LAD","X","8","ground_ball",1,2,2020,-0.02,0.85,-0.32,2.17,NA,NA,NA,0,1,"Bot",117.98,127.9,NA,NA,605131,NA,"null",-4.08299037074466,-128.067319368007,-5.71777876161906,0.577206822228658,26.6925253347754,-21.879490952778,3.36,1.61,19,105.5,-7,87.7,2854,6.1,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.39,"0.271","0.244","0.90","1","1","0","2",8,4,"Slider",0,2,0,2,2,0,0,2,"Standard","Standard",0,"2020-10-25 LAD TB",1,2,"SL,SW"
"5",942,"FF",2020-10-25,91.7,1.29,6.29,"Clayton Kershaw",668227,477132,NA,"called_strike",NA,NA,NA,NA,4,"null","W","R","L","TB","LAD","S","null","null",0,0,2020,0.06,1.76,-0.46,2.6,NA,NA,650490,0,1,"Bot",NA,NA,NA,NA,605131,NA,"null",-4.57763438295856,-133.298568841366,-7.22168991772884,1.83282754622369,31.37624741102,-9.87506507442511,3.25,1.59,NA,NA,NA,91.7,2561,6.6,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.29,"null","null","null","null","null","null","null",9,1,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",0,"2020-10-25 LAD TB",2,3,"FF,CS"
"6",943,"CU",2020-10-25,75.1,0.93,6.47,"Clayton Kershaw",668227,477132,NA,"blocked_ball",NA,NA,NA,NA,13,"null","W","R","L","TB","LAD","B","null","null",0,1,2020,-0.42,-1.39,-0.68,-0.36,NA,NA,650490,0,1,"Bot",NA,NA,NA,NA,605131,NA,"null",-2.57143667613974,-109.187727344646,-4.39373231823345,-2.80055138979985,22.1392849494681,-42.4980724021914,3.31,1.68,NA,NA,NA,74.2,2717,6,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,0.93,"null","null","null","null","null","null","null",9,2,"Curveball",0,2,0,2,2,0,0,2,"Standard","Standard",0,"2020-10-25 LAD TB",2,3,"CU,B"
"7",944,"SL",2020-10-25,88.8,1.13,6.29,"Clayton Kershaw",668227,477132,NA,"swinging_strike",NA,NA,NA,NA,7,"null","W","R","L","TB","LAD","S","null","null",1,1,2020,-0.24,0.94,-0.49,1.53,NA,NA,650490,0,1,"Bot",NA,NA,NA,NA,605131,NA,"null",-3.46924996468558,-129.177308211122,-7.56348888438336,-1.94828863739216,27.6550979052432,-20.2363938284096,3.29,1.55,NA,NA,NA,88.9,2627,6.4,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.13,"null","null","null","null","null","null","null",9,3,"Slider",0,2,0,2,2,0,0,2,"Standard","Standard",0,"2020-10-25 LAD TB",2,3,"SL,SW"
"8",945,"SL",2020-10-25,87.8,1.1,6.35,"Clayton Kershaw",668227,477132,NA,"foul",NA,NA,NA,NA,4,"null","W","R","L","TB","LAD","S","null","null",1,2,2020,-0.46,0.66,-0.45,2.23,NA,NA,650490,0,1,"Bot",NA,NA,NA,NA,605131,NA,"null",-2.81890533477896,-127.887197568939,-5.22638722276609,-4.41355397127328,26.3988161978592,-24.1033864917453,3.29,1.55,3,70.6,-29,87.8,2608,6.2,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.1,"null","null","null","null","null","null","null",9,4,"Slider",0,2,0,2,2,0,0,2,"Standard","Standard",0,"2020-10-25 LAD TB",2,3,"SL,SW"
"9",946,"CU",2020-10-25,73.6,0.77,6.44,"Clayton Kershaw",668227,477132,NA,"ball",NA,NA,NA,NA,11,"null","W","R","L","TB","LAD","B","null","null",1,2,2020,-0.45,-1.32,-0.43,3.84,NA,NA,650490,0,1,"Bot",NA,NA,NA,NA,605131,NA,"null",-1.63574359359213,-107.053907921118,4.33493183129744,-3.16820643598656,19.7162140204775,-43.326626186457,3.15,1.63,NA,NA,NA,73,2501,6,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,0.77,"null","null","null","null","null","null","null",9,5,"Curveball",0,2,0,2,2,0,0,2,"Standard","Standard",0,"2020-10-25 LAD TB",2,3,"CU,B"
"10",947,"SL",2020-10-25,87.5,1.15,6.3,"Clayton Kershaw",668227,477132,NA,"ball",NA,NA,NA,NA,13,"null","W","R","L","TB","LAD","B","null","null",2,2,2020,-0.21,0.71,-0.46,1.02,NA,NA,650490,0,1,"Bot",NA,NA,NA,NA,605131,NA,"null",-3.43680135303735,-127.333098906228,-8.09462116163749,-1.67263215934735,24.672455462375,-23.0261321960694,3.24,1.64,NA,NA,NA,87.7,2639,6.3,635887,477132,605131,571970,621035,457759,608369,592626,641355,605141,1.15,"null","null","null","null","null","null","null",9,6,"Slider",0,2,0,2,2,0,0,2,"Standard","Standard",0,"2020-10-25 LAD TB",2,3,"SL,B"
